regular,score_away,score_home,whos_favored,spread,total,moneyline_away,moneyline_home,id_spread
TRUE,105,103,away,2,187.5,-130,110,2
TRUE,84,82,away,2,184.5,-130,110,2
TRUE,105,108,home,3,215.5,135,-155,2
TRUE,85,93,home,8,205.5,290,-350,2
TRUE,105,112,home,7,205,255,-305,2
TRUE,91,107,home,16,198,1450,-2500,2
TRUE,92,86,away,6,188.5,-260,220,2
TRUE,104,118,home,14,220,1150,-1900,2
TRUE,100,111,home,11,208.5,575,-725,2
TRUE,103,111,home,8,193,340,-440,2
TRUE,116,115,away,1,202.5,-120,100,2
TRUE,70,81,home,11,185.5,700,-1000,2
TRUE,99,98,away,1,190,-120,100,2
TRUE,111,122,home,11,220.5,625,-825,2
TRUE,110,98,away,12,228,-1200,800,2
TRUE,88,97,home,9,186.5,375,-455,2
TRUE,96,105,home,9,189,380,-460,2
FALSE,87,92,home,5,198.5,180,-210,2
FALSE,99,104,home,5,214.5,180,-210,2
TRUE,89,85,away,4,186,-180,158,2
TRUE,100,98,away,2,204,-130,110,2
TRUE,97,107,home,10,185,400,-600,2
TRUE,87,93,home,6,191,220,-260,2
TRUE,117,113,away,4,207.5,-175,155,2
TRUE,93,98,home,5,201.5,170,-200,2
TRUE,94,104,home,10,194,450,-600,2
TRUE,100,107,home,7,198,260,-320,2
TRUE,115,107,away,8,213,-360,300,2
TRUE,114,113,away,1,210,-120,100,2
TRUE,94,99,home,5,216,190,-230,2
TRUE,83,88,home,5,194,185,-225,2
TRUE,98,103,home,5,217.5,170,-200,2
TRUE,101,106,home,5,220,180,-220,2
TRUE,97,109,home,12,195,675,-950,2
TRUE,90,98,home,8,189,318,-385,2
FALSE,118,121,home,3,202.5,135,-155,2
FALSE,84,74,away,10,183,-600,450,2
TRUE,87,96,home,9,188,400,-500,2
TRUE,85,92,home,7,181.5,250,-300,2
TRUE,91,96,home,5,213.5,160,-190,2
TRUE,103,106,home,3,215.5,130,-150,2
TRUE,95,97,home,2,194,110,-130,2
TRUE,88,95,home,7,201.5,250,-300,2
TRUE,83,92,home,9,191.5,330,-410,2
TRUE,111,116,home,5,208,175,-210,2
TRUE,100,102,home,2,212.5,110,-130,2
TRUE,96,97,home,1,194.5,100,-120,2
TRUE,112,119,home,7,212,260,-320,2
TRUE,92,98,home,6,200,215,-255,2
TRUE,90,89,away,1,195,-117,-103,2
TRUE,91,86,away,5,187,-210,175,2
TRUE,92,99,home,7,187,250,-300,2
TRUE,106,116,home,10,207,400,-600,2
TRUE,112,110,away,2,202.5,-130,110,2
